id,sku,name,description,price,reorder_level,safety_stock,lead_time_days,unit_of_measure,category_id
1,SKU-ELEC-001,Microcontroller Board v2,Dual-core ARM Cortex M4 microcontroller board,45.00,150,50,7,Units,1
2,SKU-ELEC-002,Industrial Temperature Sensor,High-precision thermal probe sensor,120.00,80,30,10,Units,1
3,SKU-ELEC-003,Optocoupler Relay Switch Module,Isolated high-voltage relay module,18.50,300,100,5,Units,1
4,SKU-ELEC-004,Power Management IC 12V-5V,Step-down buck regulator chip,6.50,1000,400,14,Units,1
5,SKU-ELEC-005,IoT Cellular Gateway Module,LTE-M/NB-IoT wireless gateway chip,185.00,50,15,12,Units,1
6,SKU-IND-101,Hydraulic Pump Assembly 500W,Heavy-duty hydraulic fluid pump,850.00,20,5,14,Units,2
7,SKU-IND-102,Brushless DC Servo Motor 24V,High-torque precision positioning motor,340.00,40,10,10,Units,2
8,SKU-IND-103,"Pneumatic Control Valve 1/2""",Solenoid operated directional valve,115.00,100,25,7,Units,2
9,SKU-IND-104,High-Speed Spindle Bearing Set,Ceramic hybrid precision ball bearing,210.00,60,20,15,Units,2
10,SKU-IND-105,Industrial Flow Meter Digital,Ultrasonic liquid inline flow meter,490.00,30,10,21,Units,2
11,SKU-PKG-201,Heavy Duty Storage Crate,Stackable high-density polyethylene crate,25.00,500,200,5,Boxes,3
12,SKU-PKG-202,ESD Anti-Static Shielding Bags,100-pack moisture barrier bags,42.00,200,80,4,Packs,3
13,SKU-PKG-203,Double-Wall Corrugated Carton,Heavy export grade 60x40x40cm shipping box,8.50,1500,500,3,Pallets,3
14,SKU-PKG-204,Biodegradable Pallet Stretch Film,High-yield stretch wrap roll 500mm,32.00,400,150,5,Rolls,3
15,SKU-PKG-205,Thermal Label Rolls 4x6,Direct thermal adhesive shipping labels,14.00,800,300,3,Rolls,3
16,SKU-MAT-301,Aluminum Extrusion Bar 2040,6063-T5 anodized aluminum profile 2m,28.00,400,100,8,Bars,4
17,SKU-MAT-302,Stainless Steel Sheet 316L,2mm cold rolled corrosion resistant sheet,145.00,75,25,14,Sheets,4
18,SKU-MAT-303,Copper Tubing Refrigeration Grade,1/2 inch annealed copper coil 15m,92.00,120,40,10,Coils,4
19,SKU-MAT-304,Structural Steel Angle Bar,50x50x5mm hot rolled carbon steel bar 3m,45.00,250,80,12,Bars,4
20,SKU-MAT-305,Titanium Alloy Rod Gr5,12mm precision ground titanium round bar,260.00,30,10,20,Rods,4
21,SKU-CHM-401,Synthetic Machine Gear Oil 75W-90,Full synthetic heavy duty gear lubricant 20L,160.00,90,30,7,Drums,5
22,SKU-CHM-402,Industrial Degreaser Solvent,Fast-evaporating solvent cleaner 200L,380.00,25,10,10,Drums,5
23,SKU-CHM-403,High-Temp Structural Epoxy,2-part toughened epoxy adhesive 1L,75.00,150,50,6,Kits,5
24,SKU-CHM-404,Thermal Conductive Paste 50g,Silicone-free high performance grease,22.00,500,150,5,Tubes,5
25,SKU-CHM-405,Anti-Corrosion Surface Coating,Zinc-rich aerosol protective spray 500ml,16.50,600,200,4,Cans,5
