id,order_number,customer_name,order_date,expected_delivery_date,status,total_amount
1,ORD-2025-0001,Techtronics Assembly Corp,2025-09-01,2025-09-08,DELIVERED,4126.00
2,ORD-2025-0002,Summit Aerospace Parts,2025-09-24,2025-09-28,DELIVERED,9398.00
3,ORD-2025-0003,Omni Logistics Partners,2025-09-18,2025-09-24,DELIVERED,14202.00
4,ORD-2025-0004,Vanguard Precision Robotics,2025-09-14,2025-09-22,DELIVERED,10804.00
5,ORD-2025-0005,Global Manufacturing Inc,2025-09-03,2025-09-12,DELIVERED,23254.00
6,ORD-2025-0006,Metro Packaging Logistics,2025-09-18,2025-09-22,DELIVERED,2576.00
7,ORD-2025-0007,Summit Aerospace Parts,2025-09-27,2025-10-05,DELIVERED,1862.00
8,ORD-2025-0008,Global Manufacturing Inc,2025-09-08,2025-09-15,DELIVERED,507.00
9,ORD-2025-0009,Apex Industrial Solutions,2025-09-21,2025-09-29,DELIVERED,39634.00
10,ORD-2025-0010,Summit Aerospace Parts,2025-09-21,2025-09-25,DELIVERED,2740.00
11,ORD-2025-0011,Vanguard Precision Robotics,2025-09-15,2025-09-24,DELIVERED,23895.00
12,ORD-2025-0012,Acme Automation Corp,2025-09-02,2025-09-08,DELIVERED,10873.00
13,ORD-2025-0013,Quantum Devices LLC,2025-09-11,2025-09-17,DELIVERED,13996.00
14,ORD-2025-0014,Omni Logistics Partners,2025-09-18,2025-09-25,DELIVERED,4614.00
15,ORD-2025-0015,Global Manufacturing Inc,2025-09-25,2025-09-28,DELIVERED,54650.00
16,ORD-2025-0016,Metro Packaging Logistics,2025-09-14,2025-09-18,DELIVERED,31285.00
17,ORD-2025-0017,Quantum Devices LLC,2025-09-04,2025-09-11,DELIVERED,19560.00
18,ORD-2025-0018,Starlight Energy Corp,2025-09-24,2025-10-01,DELIVERED,7438.50
19,ORD-2025-0019,Apex Industrial Solutions,2025-09-27,2025-10-03,DELIVERED,38443.50
20,ORD-2025-0020,Titan Heavy Industries,2025-09-20,2025-09-28,DELIVERED,214.50
21,ORD-2025-0021,Techtronics Assembly Corp,2025-09-27,2025-10-04,DELIVERED,5290.00
22,ORD-2025-0022,Omni Logistics Partners,2025-09-03,2025-09-07,DELIVERED,13196.00
23,ORD-2025-0023,Starlight Energy Corp,2025-09-06,2025-09-13,DELIVERED,21929.50
